"","Code","Country.Name","notzoo_EID_counts_binom","notzoo_EID_counts_pois","Ad_notzoo_EID_counts_pois","Agricultural_land","GDP","Population","Population_density","Popolation_growth","Precipitation","Livestock_density","Forest_coverage","Temperature","Aves_richness","Mammalian_richness","Im_counts","Ex_counts","Year","RE","RB","Im_counts_scaled","Ex_counts_scaled","Mammalian_richness_scaled","Aves_richness_scaled","Temperature_scaled","Livestock_density_scaled","Precipitation_scaled","Population_density_scaled","GDP_scaled","GDP_p_c","GDP_p_scaled","Popolation_growth_scaled","Forest_coverage_scaled","Agricultural_land_scaled"
"65",206,"United States",1,2,18,47.10130845,8.62e+12,240133000,26.21836977,0.924164157,715,0.31,NA,9.37,1036,465,589013.257,131544.788,1986,3013,11.24980195,2.134411986,0.324948784,0.771560942,0.443804672,-0.655944199,-0.505686256,-0.450938585,-0.575368651,1.029977372,35896.77387,0.749821663,-0.252645798,NA,0.03313548
"66",206,"United States",1,1,9,46.61533624,9.29e+12,244499000,26.69506145,0.90799904,715,0.3,NA,9.06,1036,465,1056457.295,129355.556,1988,3013,11.24980195,4.20785739,0.315162631,0.771560942,0.443804672,-0.696920058,-0.520566076,-0.450938585,-0.572031921,1.1662811,37996.06542,0.867924033,-0.272818639,NA,0.006018997
"67",206,"United States",1,4,36,46.61533624,9.63e+12,246819000,26.94836532,0.944405555,715,0.3,NA,8.65,1036,465,1364034.601,81781,1989,3013,11.24980195,5.572180602,0.102498142,0.771560942,0.443804672,-0.751113937,-0.520566076,-0.450938585,-0.570258853,1.235450156,39016.44525,0.925328768,-0.227386066,NA,0.006018997
"68",206,"United States",1,3,27,46.61533624,9.81e+12,249623000,27.25451361,1.12965052,715,0.29,33.02,9.36,1036,465,504514.612,97027.064,1990,3013,11.24980195,1.759600644,0.170650043,0.771560942,0.443804672,-0.657266001,-0.535445896,-0.450938585,-0.568115887,1.272069067,39299.26329,0.941239602,0.003785621,0.285124635,0.006018997
"69",206,"United States",1,1,9,46.61533624,9.8e+12,252981000,27.62114913,1.336260741,715,0.3,33.03,9.34,1036,465,346354.0616,107015.279,1991,3013,11.24980195,1.058046576,0.21529867,0.771560942,0.443804672,-0.659909605,-0.520566076,-0.450938585,-0.565549524,1.270034683,38738.08705,0.909668836,0.261619528,0.285764863,0.006018997
"70",206,"United States",1,3,27,45.98109392,1.08e+13,263126000,28.72880764,1.226296089,715,0.33,33.07,9.23,1036,465,209840.9529,47403.596,1994,3013,11.24980195,0.452514245,-0.05117335,0.771560942,0.443804672,-0.674449426,-0.475926615,-0.450938585,-0.557796173,1.473473083,41044.97465,1.039450186,0.124391971,0.288325773,-0.029370724
"71",206,"United States",1,1,10,45.29826531,1.21e+13,272657000,29.76942797,1.203960297,715,0.34,33.11,8.74,1036,465,98415.0143,48448.096,1997,3013,11.05051402,-0.041738717,-0.046504298,0.771560942,0.443804672,-0.739217719,-0.461046795,-0.450938585,-0.550512073,1.737943003,44378.10142,1.226965907,0.096518594,0.290886684,-0.067471484
"72",206,"United States",1,1,10,45.26583804,1.26e+13,275854000,30.11848507,1.165714526,715,0.33,33.12,9.8,1036,465,94426.245,45130.256,1998,3013,10.92244448,-0.059431734,-0.061335477,0.771560942,0.443804672,-0.599106717,-0.475926615,-0.450938585,-0.548068755,1.839662203,45676.33603,1.300002253,0.048790769,0.291526911,-0.069280874
"73",206,"United States",1,1,10,45.23058486,1.38e+13,282162411,30.79730133,1.112768997,715,0.33,33.13,9.2,1036,465,78011.428,44346.921,2000,3013,10.67824729,-0.132243074,-0.064837087,0.771560942,0.443804672,-0.678414831,-0.475926615,-0.450938585,-0.5433172,2.083788282,48908.00285,1.481810019,-0.017281242,0.292167139,-0.071247946
"74",206,"United States",1,1,10,45.2900702,1.39e+13,284968955,31.10362839,0.989741382,715,0.33,33.19,9.42,1036,465,80525.5194,30915.5,2001,3013,10.57308155,-0.121091298,-0.124877296,0.771560942,0.443804672,-0.649335189,-0.475926615,-0.450938585,-0.541172982,2.104132122,48777.24312,1.474453712,-0.170810387,0.296008505,-0.067928758
"75",206,"United States",1,1,10,45.08487304,1.41e+13,287625193,31.39354993,0.927797486,715,0.33,33.24,9.44,1036,465,72501.502,49683.686,2002,3013,10.47543843,-0.156683498,-0.04098105,0.771560942,0.443804672,-0.646691586,-0.475926615,-0.450938585,-0.539143599,2.144819802,49022.13138,1.488230686,-0.248111678,0.299209643,-0.079378436
"76",206,"United States",1,1,10,45.08032159,1.45e+13,290107933,31.66453462,0.859481713,715,0.34,33.3,9.42,1036,465,68700.7601,58407.624,2003,3013,10.38578976,-0.173542481,-0.001983906,0.771560942,0.443804672,-0.649335189,-0.461046795,-0.450938585,-0.53724677,2.226195162,49981.39779,1.542197289,-0.333364589,0.303051009,-0.0796324
"77",206,"United States",1,1,10,45.0712951,1.56e+13,295516599,32.2548766,0.921713167,715,0.34,33.41,9.65,1036,465,93713.694,77851.037,2005,3013,10.19570478,-0.062592402,0.084930694,0.771560942,0.443804672,-0.618933745,-0.461046795,-0.450938585,-0.533114514,2.449977402,52788.91288,1.700143043,-0.255704447,0.310093513,-0.080136064
"78",206,"United States",1,1,10,45.06234501,1.64e+13,301231207,32.87861136,0.951055243,715,0.34,33.53,9.62,1036,465,96167.0179,54659.556,2007,3013,10.00228373,-0.051710173,-0.01873826,0.771560942,0.443804672,-0.622899151,-0.461046795,-0.450938585,-0.528748516,2.612728121,54443.23038,1.793211972,-0.219087759,0.317776245,-0.080635464
"79",206,"United States",1,1,11,44.92002116,1.64e+13,304093966,33.24368685,0.945865287,715,0.29,33.64,8.78,1036,465,99021.1085,88921.787,2008,3013,9.908121623,-0.039050259,0.134418394,0.771560942,0.443804672,-0.733930512,-0.535445896,-0.450938585,-0.526193073,2.612728121,53930.69851,1.76437785,-0.225564431,0.324818749,-0.088576911
"80",211,"Vietnam",1,1,59,21.58284433,51871769610,69788747,214.4113398,2.070218246,1821,1.26,30.29,24.5,866,335,3,32031,1992,128,1.7216325,-0.478265706,-0.119890865,0.054214813,-0.013483269,1.343942094,0.90789666,1.295797972,0.741938183,-0.713108923,743.2683898,-1.227851372,1.177542907,0.110342489,-1.390754574
