"","Code","Country.Name","zoo_EID_counts_binom","zoo_EID_counts_pois","Ad_zoo_EID_counts_pois","Agricultural_land","GDP","Population","Population_density","Popolation_growth","Precipitation","Livestock_density","Forest_coverage","Temperature","Aves_richness","Mammalian_richness","Im_counts","Ex_counts","Year","RE","RB","Im_counts_scaled","Ex_counts_scaled","Mammalian_richness_scaled","Aves_richness_scaled","Temperature_scaled","Livestock_density_scaled","Precipitation_scaled","Population_density_scaled","GDP_scaled","GDP_p_c","GDP_p_scaled","Popolation_growth_scaled","Forest_coverage_scaled","Agricultural_land_scaled"
"25",41,"China",1,1,172,55.57139159,2.2e+12,1230075000,130.5159522,1.023450024,645,0.47,18.22,7.28,1329,614,23808.7262,94087.5,1997,717,0.582891287,-0.292089697,1.271590702,1.662043551,1.207031083,-0.87782325,-0.27572368,-0.605536472,0.134061005,-0.182071093,1788.508831,-1.255944111,-0.193702324,-0.699244204,0.57983486
"26",41,"China",1,1,179,55.69563782,3.28e+12,1280400000,135.8557803,0.669999568,645,0.5,19.36,7.79,1329,614,7197.211,156021.858,2002,717,0.559981256,-0.34776092,2.579050622,1.662043551,1.207031083,-0.81511427,-0.222952102,-0.605536472,0.168028975,0.072418521,2561.699469,-1.212328689,-0.540225897,-0.640115157,0.586315125
"27",41,"China",1,1,183,55.94576662,4.98e+12,1311020000,139.104693,0.558374367,645,0.51,20.36,7.98,1329,614,25348.805,34669.884,2006,717,0.546902412,-0.286928334,0.017260247,1.662043551,1.207031083,-0.791752102,-0.205361577,-0.605536472,0.188696115,0.473004024,3798.569053,-1.142557295,-0.649663479,-0.588247572,0.599361
"28",41,"China",1,1,191,56.10803814,9.62e+12,1363240000,144.645433,0.666072978,645,0.51,21.99,7.72,1329,614,46058.986,37338.415,2013,717,0.525952877,-0.217520993,0.07359404,1.662043551,1.207031083,-0.823721385,-0.205361577,-0.605536472,0.223942136,1.566366807,7056.717819,-0.958766226,-0.544075534,-0.503703408,0.607824536
"29",46,"Costa Rica",1,1,30,35.89894242,31487207679,4122623,79.38155112,1.843308547,2926,0.65,55.99,24.85,895,238,2058,105,2001,14,3.395896253,-0.364984283,-0.712418754,-0.325958279,0.158803989,1.28256258,0.040905786,3.341299491,-0.191217602,-0.693056261,7637.663613,-0.925995271,0.610088701,1.259794485,-0.446213796
"30",58,"Egypt, Arab Rep.",1,1,151,2.64704405,50353260517,40577356,40.76282686,2.314318888,18.1,1.69,NA,22.08,480,122,1,0,1977,43,0.662981559,-0.371878037,-0.714635347,-0.939277992,-0.843532978,0.941966749,1.870320481,-1.690267496,-0.436880884,-0.688610692,1240.920195,-1.286833401,1.071868232,NA,-2.180520762
"31",68,"France",1,2,21,58.36921942,1.24e+12,54486195,99.50616912,0.486085799,867,0.86,NA,10.1,522,155,36198.856,50924.292,1978,587,9.726884543,-0.250565871,0.360397524,-0.764799108,-0.742091646,-0.53107948,0.41030683,-0.221407764,-0.063199916,-0.408284082,22758.05826,-0.07305893,-0.720535343,NA,0.725760132
"32",68,"France",1,1,11,55.8705252,1.66e+12,58044701,106.00494,0.480817154,867,0.84,26.36,11.73,522,155,108145.1257,753.397,1990,587,9.726884543,-0.009447782,-0.698730825,-0.764799108,-0.742091646,-0.330656663,0.375125778,-0.221407764,-0.021859623,-0.309315899,28598.64848,0.256406787,-0.725700734,-0.277042061,0.595436661
"33",68,"France",1,2,21,54.96378519,1.8e+12,60504420,109.131197,0.356871556,867,0.85,27.3,10.56,522,155,93707.257,15156.256,1996,587,9.701770548,-0.057834326,-0.394680513,-0.764799108,-0.742091646,-0.47451844,0.392716304,-0.221407764,-0.001972726,-0.276326505,29749.89265,0.321348081,-0.84721726,-0.228286531,0.548144158
"34",68,"France",1,1,11,54.43607814,2.05e+12,62716306,111.2583191,0.686782587,867,0.88,27.92,11.84,522,155,61920.4056,907.624,2000,587,9.359607372,-0.164363613,-0.695475029,-0.764799108,-0.742091646,-0.317131196,0.445487882,-0.221407764,0.011558425,-0.217416872,32686.87413,0.487022211,-0.523771789,-0.196128628,0.520620736
